"","Plot","Position.point","Sample","DBH.Total","Canopy.area","d15N","d13C","N..percent","Total.N..mmol.gdw","C..percent","Total.C..mmol.gdw","C.N","Type","x.matrix","y.matrix","x.meter","y.meter","z"
"128","RK","T-H2","Soil",NA,NA,4.95,-25.44,1.78,1.27,27.12,22.6,15.24,"corner",2,6,8,30,NA
"129","RK","T-H3","Soil",NA,NA,7.34,-25.93,1.55,1.11,25.47,21.23,16.45,"corner",2,5,8,25,NA
"130","RK","T-H4","Soil",NA,NA,8.34,-24.72,1.72,1.23,25.4,21.17,14.78,"corner",2,4,8,20,NA
"131","RK","T-H5","Soil",NA,NA,7.79,-24.6,1.61,1.15,24.18,20.15,15,"corner",2,3,8,15,NA
"132","RK","T-H6","Soil",NA,NA,7.44,-24.91,1.45,1.04,22.93,19.11,15.79,"corner",2,2,8,10,NA
"133","RK","T-H7","Soil",NA,NA,5.98,-24.96,1.34,0.96,24.85,20.7,18.56,"corner",2,1,8,5,NA
"134","RK","T-H8","Soil",NA,NA,4.54,-25.11,1.22,0.87,17.95,14.95,14.74,"corner",2,0,8,0,NA
"135","RK","T-J1","Soil",NA,NA,6.38,-25.73,1.32,0.95,22.52,18.77,17,"corner",1,7,4,35,NA
"136","RK","T-J2","Soil",NA,NA,6.23,-26.84,1.94,1.38,31.08,25.9,16.04,"corner",1,6,4,30,NA
"137","RK","T-J3","Soil",NA,NA,7.35,-25.34,1.72,1.23,26.09,21.74,15.14,"corner",1,5,4,25,NA
"138","RK","T-J4","Soil",NA,NA,7.36,-24.02,2.1,1.5,30.36,25.3,14.44,"corner",1,4,4,20,NA
"139","RK","T-J5","Soil",NA,NA,7.67,-23.73,1.81,1.29,25.58,21.31,14.15,"corner",1,3,4,15,NA
"140","RK","T-J6","Soil",NA,NA,7.43,-23.07,1.6,1.14,23.43,19.52,14.65,"corner",1,2,4,10,NA
"141","RK","T-J7","Soil",NA,NA,6.66,-24.54,1.51,1.08,24.96,20.8,16.55,"corner",1,1,4,5,NA
